date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:10	14739/14739	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2006:42:59%20GMT	http://www.lighttek.com/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/index.html	(from )
22:56:10	23/23	---M--	200	added ('OK')	text/plain	date:Sat,%2018%20Apr%202020%2005:21:18%20GMT	http://www.lighttek.com/robots.txt		(from )
22:56:10	841/841	---M--	200	added ('OK')	text/css	date:Sat,%2018%20Apr%202020%2005:21:04%20GMT	http://www.lighttek.com/lt.css	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/lt.css	(from http://www.lighttek.com/index.htm)
22:56:11	540/540	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:33%20GMT	http://www.lighttek.com/images/4-bar2.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-bar2.gif	(from http://www.lighttek.com/index.htm)
22:56:11	3097/3097	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:36%20GMT	http://www.lighttek.com/images/4-top1.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-top1.gif	(from http://www.lighttek.com/index.htm)
22:56:11	12984/12984	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:30%20GMT	http://www.lighttek.com/images/4-bar0.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-bar0.gif	(from http://www.lighttek.com/index.htm)
22:56:12	28698/28698	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2006:42:56%20GMT	http://www.lighttek.com/talisman.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/talisman.html	(from http://www.lighttek.com/index.htm)
22:56:12	22886/22886	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2006:45:38%20GMT	http://www.lighttek.com/alteros/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/alteros/index.html	(from http://www.lighttek.com/index.htm)
22:56:13	16822/16822	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2006:42:58%20GMT	http://www.lighttek.com/download.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/download.html	(from http://www.lighttek.com/index.htm)
22:56:13	18461/18461	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2012:39:50%20GMT	http://www.lighttek.com/purchase.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/purchase.html	(from http://www.lighttek.com/index.htm)
22:56:14	11700/11700	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Jun%202021%2016:01:54%20GMT	http://www.lighttek.com/support.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/support.html	(from http://www.lighttek.com/index.htm)
22:56:14	13945/13945	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2012:39:46%20GMT	http://www.lighttek.com/cd.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/cd.html	(from http://www.lighttek.com/index.htm)
22:56:15	16918/16918	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2006:42:57%20GMT	http://www.lighttek.com/other.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/other.html	(from http://www.lighttek.com/index.htm)
22:56:15	12691/12691	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Mar%202021%2006:42:57%20GMT	http://www.lighttek.com/limages.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/limages.html	(from http://www.lighttek.com/index.htm)
22:56:16	13238/13238	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:28:18%20GMT	http://www.lighttek.com/french/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/french/index.html	(from http://www.lighttek.com/index.htm)
22:56:16	13456/13456	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2014:03:51%20GMT	http://www.lighttek.com/spain/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/spain/index.html	(from http://www.lighttek.com/index.htm)
22:56:17	14569/14569	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2014:07:43%20GMT	http://www.lighttek.com/sweden/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/sweden/index.html	(from http://www.lighttek.com/index.htm)
22:56:17	14643/14643	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:49:42%20GMT	http://www.lighttek.com/portu/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/portu/index.html	(from http://www.lighttek.com/index.htm)
22:56:18	16111/16111	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:58:15%20GMT	http://www.lighttek.com/rus/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/rus/index.html	(from http://www.lighttek.com/index.htm)
22:56:18	13741/13741	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Jun%202021%2016:14:19%20GMT	http://www.lighttek.com/german/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/german/index.html	(from http://www.lighttek.com/index.htm)
22:56:19	14746/14746	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:41:15%20GMT	http://www.lighttek.com/italian/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/italian/index.html	(from http://www.lighttek.com/index.htm)
22:56:19	15755/15755	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2013:43:49%20GMT	http://www.lighttek.com/japan/index.htm	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/japan/index.html	(from http://www.lighttek.com/index.htm)
22:56:21	13401/13401	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:32%20GMT	http://www.lighttek.com/images/4-bar11.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-bar11.gif	(from http://www.lighttek.com/index.htm)
22:56:21	13883/13883	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:37%20GMT	http://www.lighttek.com/images/4-top2.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-top2.gif	(from http://www.lighttek.com/index.htm)
22:56:21	1004/1004	---M--	200	added ('OK')	image/gif	etag:%223c569cc1-3ec%22	http://extreme-dm.com/i/	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/extreme-dm.com/i/index.html	(from http://www.lighttek.com/index.htm)
22:56:21	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2025%20Jul%202021%2005:56:21%20GMT	http://extreme-dm.com/z/?tag=akatoma&j=n	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/extreme-dm.com/z/index58e0.html	(from http://www.lighttek.com/index.htm)
22:56:26	27586/27586	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Apr%202020%2003:50:56%20GMT	http://www.lighttek.com/images/newvers.png	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/newvers.png	(from http://www.lighttek.com/index.htm)
22:56:26	703/703	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:36%20GMT	http://www.lighttek.com/images/4-right1.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-right1.gif	(from http://www.lighttek.com/index.htm)
22:56:27	2910/2910	---M--	200	added ('OK')	image/gif	date:Sat,%2018%20Apr%202020%2003:48:38%20GMT	http://www.lighttek.com/images/4-top3e.gif	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/4-top3e.gif	(from http://www.lighttek.com/index.htm)
22:56:29	25850/25850	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Apr%202020%2003:48:51%20GMT	http://www.lighttek.com/images/alteros.png	C:/Users/Bcat/Documents/GitHub/wwn/LiteTek/www.lighttek.com/images/alteros.png	(from http://www.lighttek.com/index.htm)
